java/lang/invoke/VarHandles/VarHandleTestMethodHandleAccessString.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeBoolean.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeByte.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeChar.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeDouble.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeFloat.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeInt.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeLong.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeShort.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestMethodTypeString.java total: 30, passed: 30, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/VarHandleTestReflection.java total: 155, passed: 155, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/VarHandles/accessibility/TestFieldLookupAccessibility.java total: 66, passed: 66, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/lambda/LogGeneratedClassesTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/modules/Driver.java total: 10, passed: 10, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/t8150782/TestAccessClass.java total: 5, passed: 5, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/t8150782/TestFindClass.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/invoke/t8150782/TestLookup.java total: 4, passed: 4, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/AutomaticModulesTest.java total: 66, passed: 66, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ClassFileVersionsTest.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ConfigurationTest.java total: 75, passed: 75, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ModuleDescriptorTest.java total: 442, passed: 442, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ModuleFinderTest.java total: 27, passed: 27, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ModuleNamesTest.java total: 260, passed: 260, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ModuleReader/ModuleReaderTest.java total: 4, passed: 4, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/ModuleReferenceTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/MultiReleaseJarTest.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/VersionTest.java total: 39, passed: 39, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/module/customfs/ModulesInCustomFileSystem.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/ref/CleanerTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/AccessibleObject/CanAccessTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/AccessibleObject/ModuleSetAccessibleTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/AccessibleObject/TrySetAccessibleTest.java total: 9, passed: 9, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/DefaultMethodMembers/FilterNotMostSpecific.java total: 132, passed: 132, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/DefaultStaticTest/DefaultStaticInvokeTest.java total: 276, passed: 276, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/Generics/ThreadSafety.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/Proxy/ProxyClassAccessTest.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/Proxy/ProxyForMethodHandle.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/Proxy/ProxyLayerTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/Proxy/ProxyTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/lang/reflect/annotationSharing/AnnotationSharing.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/NetworkInterface/NetworkInterfaceStreamTest.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/SocketOption/ImmutableOptions.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/SocketPermission/SocketPermissionTest.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/Socks/SocksIPv6Test.java total: 2, passed: 2, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/URLClassLoader/definePackage/SplitPackage.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/URLConnection/SetDefaultUseCaches.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/URLDecoder/EncodingTest.java total: 10, passed: 10, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/URLEncoder/EncodingTest.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/BufferingSubscriberCancelTest.java total: 28, passed: 28, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/BufferingSubscriberErrorCompleteTest.java total: 107, passed: 107, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/BufferingSubscriberTest.java total: 19, passed: 19, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/CustomRequestPublisher.java total: 32, passed: 32, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/CustomResponseSubscriber.java total: 16, passed: 16, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/FlowAdapterPublisherTest.java total: 25, passed: 25, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/FlowAdapterSubscriberTest.java total: 65, passed: 65, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/HeadersTest1.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/HttpClientBuilderTest.java total: 11, passed: 11, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/HttpResponseInputStreamTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/NoBodyPartOne.java total: 48, passed: 48, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/NoBodyPartTwo.java total: 64, passed: 64, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/RequestBodyTest.java total: 784, passed: 784, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/RequestBuilderTest.java total: 9, passed: 9, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/SubscriberPublisherAPIExceptions.java total: 6, passed: 6, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/TestKitTest.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/BasicTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/ContinuationFrameTest.java total: 8, passed: 8, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/ErrorTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/FixedThreadPoolTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackBinaryTestDriver.java total: 12, passed: 12, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackCircularBufferDriver.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackDecoderDriver.java total: 25, passed: 25, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackEncoderDriver.java total: 14, passed: 14, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackHeaderTableDriver.java total: 17, passed: 17, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackHuffmanDriver.java total: 27, passed: 27, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/HpackTestHelper.java total: 3, passed: 3, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/RedirectTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/http2/ServerPush.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
java/net/httpclient/security/filePerms/FileProcessorPermissionTest.java total: 1, passed: 1, failed: 0, skipped: 0, config failed: 0, config skipped: 0
